,codigo,municipio,nome_estacao,lat_estacao,lon_estacao,chuva_mm
0,432026301A,SEGREDO,Prefeitura,-29.3399,-52.982,812.6
1,430830001A,FONTOURA XAVIER,Centro,-28.98485,-52.34445,778.0
2,431123901A,LAGOA BONITA DO SUL,Centro,-29.49,-53.013,749.2
3,430510802A,CAXIAS DO SUL,Forqueta,-29.214,-51.282,679.6
4,430420002A,CANDELÁRIA,Fábrica de Injetados,-29.66286,-52.78729,666.8
5,431310201A,NOVA PALMA,Centro,-29.47,-53.465,636.8
6,430800301A,FAXINAL DO SOTURNO,Centro,-29.5809,-53.4467,634.8
7,432080002A,SOLEDADE,Centro,-28.830164,-52.510442,624.8
8,430057001A,ALTO FELIZ,Alto Feliz,-29.38202,-51.31758,617.0
9,431140303A,LAJEADO,Moinhos D´Agua,-29.452,-52.003,589.4
10,430120601A,ARROIO DO TIGRE,Taboazinho,-29.33448,-53.0845,587.8
12,431690707A,SANTA MARIA,Lorenzi,-29.727,-53.807,553.4
13,430300401A,CACHOEIRA DO SUL,Comunidade Três Vendas,-29.8908,-53.0043,546.4
14,430235201A,BOM PRINCÍPIO,Centro,-29.489,-51.356,541.2
15,431820001A,SÃO FRANCISCO DE PAULA,Centro,-29.441672,-50.582842,532.0
16,431320101A,NOVA PETRÓPOLIS,Centro,-29.37557,-51.11443,526.2
17,432145101A,TEUTÔNIA,Teutônia,-29.4524,-51.8097,502.0
18,432170906H,TRÊS COROAS,Rio Paranhana,-29.51567,-50.77418,486.0
19,430620501A,CRUZEIRO DO SUL,Secretaria da Agricultura,-29.51322,-51.98482,473.2
20,432260801A,VENÂNCIO AIRES,Centro Linha Brasil,-29.5371,-52.3016,466.8
21,430780702A,ESTRELA,Industrias,-29.4824,-51.9687,442.6
22,432300205A,VIAMÃO,Vila Augusta,-30.048,-51.084,427.0
23,431065201A,ITATI,Restaurante Mirador,-29.35487,-50.1719,424.93
24,430460605A,CANOAS,Marechal Rondon,-29.924,-51.17,423.4
25,430920902A,GRAVATAÍ,Morungava,-29.881578,-50.929952,422.0
26,432040401A,SERAFINA CORRÊA,Centro,-28.710219,-51.929817,419.0
27,432000805A,SAPUCAIA DO SUL,Para¡so,-29.833,-51.15,415.0
